%We don't separate training for testing here since we use fold evaluation 10 levels. Generated by p10.cpp
@relation whole_set_p6
@attribute word string
@attribute d1 integer
@attribute c1 {yes,no}
@attribute c2 {yes,no}
@attribute c5 {yes,no}
@attribute c8 {yes,no}
@attribute c11 {yes,no}
@attribute w_length integer
@attribute v_percentage real
@attribute webhits integer
@attribute three_consonants {yes,no}
@attribute has_double_letter {yes,no}
@attribute has_x {yes,no}
@attribute has_h {yes,no}
@attribute has_o_and_u {yes,no}
@attribute has_ua {yes,no}
@attribute difficult {yes,no}
@data
"estricto", 6, no, no, no, no, no, 8,0.375,3600000, yes, no, no, no, no, no, yes
"estrés", 5, no, no, no, no, no, 6,0.333333,8900000, yes, no, no, no, no, no, yes
"estuvo", 7, no, no, no, no, no, 6,0.5,30700000, no, no, no, no, yes, no, yes
"evaluación", 6, no, no, no, no, no, 10,0.6,30200000, no, no, no, no, no, yes, yes
"explica", 7, no, no, no, no, no, 7,0.428571,36600000, yes, no, yes, no, no, no, yes
"extranjero", 3, no, yes, no, no, no, 10,0.4,19100000, yes, no, yes, no, no, no, yes
"extravagante", 2, no, no, no, no, no, 12,0.416667,2470000, yes, no, yes, no, no, no, yes
"extraña", 12, no, no, no, no, no, 7,0.428571,9400000, yes, no, yes, no, no, no, yes
"fauna", 8, no, no, no, no, no, 5,0.6,40300000, no, no, no, no, no, no, yes
"feria", 14, no, no, no, no, no, 5,0.6,33200000, no, no, no, no, no, no, yes
"filántropo", 3, no, no, no, no, no, 10,0.4,838000, yes, no, no, no, no, no, yes
"frecuencias", 3, no, no, no, yes, no, 11,0.454545,3640000, no, no, no, no, no, no, yes
"fricción", 4, no, no, no, no, no, 8,0.375,1500000, no, yes, no, no, no, no, yes
"fuegos artificiales", 0, no, no, no, no, no, 19,0.473684,3070000, no, no, no, no, yes, no, yes
"futbol", 2, no, no, no, no, no, 6,0.333333,98600000, no, no, no, no, yes, no, yes
"garbanzos", 3, no, no, no, no, no, 9,0.333333,1550000, no, no, no, no, no, no, yes
